DANIEL'S DRIVEN TEAM,ALFREDO'S AWESOME TEAM,BRIAN'S BEST TEAM,DENNIS'S DANGEROUS TEAM,TALON'S TALENTED TEAM,COLTON'S COMPETITIVE TEAM,RAMI'S ROWDY TEAM,STEVEN'S SMART TEAM,MATT 'S MAGNIFICENT TEAM,DARRELL'S DARING TEAM,ADAM'S ASTOUNDING TEAM,ZACHARY'S HONORABLE TEAM,Positions
 , , , , , , , , , , , ,QB0
Christian McCaffrey, ,Bijan Robinson,Breece Hall, , , , , , , , ,RB1
 , , , , , , , , , , , ,RB2
 ,CeeDee Lamb, , , , , , , , , , ,WR3
 , , , , , , , , , , , ,WR4
 , , , , , , , , , , , ,TE5
 , , , , , , , , , , , ,FLEX6
 , , , , , , , , , , , ,D/ST7
 , , , , , , , , , , , ,K8
 , , , , , , , , , , , ,BE9
 , , , , , , , , , , , ,BE10
 , , , , , , , , , , , ,BE11
 , , , , , , , , , , , ,BE12
 , , , , , , , , , , , ,BE13
 , , , , , , , , , , , ,BE14
 , , , , , , , , , , , ,BE15